test	0	0
USA	336	239
Russia	836	167
France	645	216
China	911	250
India	856	313
Pakistan	823	280
North_Korea	976	235
Israel	724	278
South_Africa	688	475
UK	620	189
Hiroshima&Nagasaki	741	615
Cold_war	758	615
NPT	800	555
CTBT	868	571
Russia_Ukrain_Conflict	929	600
