Bangkok	192	287
Phuket	106	502
Surat_Thani	132	458
Songkhla	188	539
Chon_Buri	215	311
Chiang_Mai	125	92
Nong_Khai	282	131
Samut_Prakan	195	295
Krabi	132	496
Phangnga	107	471
